Repo,CommitHash,TimeStamp,Language,Files,Lines,Code,Comments,Blanks
Rawhide,9d3663d0dd0c4ff7da3a25fc3141c1442bd9accd,1532624487,Plain Text,1,7,7,0,0
Rawhide,9d3663d0dd0c4ff7da3a25fc3141c1442bd9accd,1532624487,Total,31,16683,16172,120,391
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,BASH,4,61,30,9,22
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,CSS,4,262,224,0,38
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,Dockerfile,1,11,7,0,4
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,HTML,1,40,17,20,3
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,JavaScript,9,1337,1061,87,189
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,JSON,3,11867,11867,0,0
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,Markdown,4,2549,2549,0,0
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,Python,4,518,386,4,128
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,Plain Text,1,7,7,0,0
Rawhide,2265d4a7fe3e121d28d701e49f90f1a0422a48eb,1532534653,Total,31,16652,16148,120,384
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,BASH,4,61,30,9,22
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,CSS,4,262,224,0,38
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,Dockerfile,1,11,7,0,4
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,HTML,1,40,17,20,3
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,JavaScript,9,1337,1061,87,189
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,JSON,3,11867,11867,0,0
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,Markdown,4,2549,2549,0,0
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,Python,4,518,386,4,128
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,Plain Text,1,7,7,0,0
Rawhide,5534221eb00ddc05244e34a9110df2a362ed3f6e,1532461272,Total,31,16652,16148,120,384
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,BASH,4,61,30,9,22
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,CSS,4,262,224,0,38
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,Dockerfile,1,11,7,0,4
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,HTML,1,40,17,20,3
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,JavaScript,9,1337,1061,87,189
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,JSON,3,11867,11867,0,0
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,Markdown,4,2549,2549,0,0
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,Python,4,506,378,4,124
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,Plain Text,1,7,7,0,0
Rawhide,433a1d8bdecaa1670046a1226c3465fc889286a7,1532447810,Total,31,16640,16140,120,380
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,BASH,4,61,30,9,22
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,CSS,4,262,224,0,38
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,Dockerfile,1,11,7,0,4
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,HTML,1,40,17,20,3
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,JavaScript,9,1337,1061,87,189
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,JSON,3,11867,11867,0,0
Rawhide,dc3de271ac9fab056c35560d4080f45ce13291b3,1532446022,Markdown,4,2549,2549,0,0
