Repo,CommitHash,TimeStamp,ParentHashMaster,ParentHashBranch,PrMergeDuration
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,e36aed512dce9fdffdeacdafa91bc477e99faf89,85570d7f27a06f69e6cd9f52b88d32cce7d58d41,51.0
ThunderWeasel,68850d164ee373f872f3a8e6a53088d3a56d87c8,1537290851,68850d164ee373f872f3a8e6a53088d3a56d87c8,376344463b4135400f5f2dec0194003f603b55fb,346.0
ThunderWeasel,8452308eb1839e8a42457ab3212ac5f961e9da77,1537286927,8452308eb1839e8a42457ab3212ac5f961e9da77,c9aeace89e4b73895ac3c5eccf894be67cb10329,3075.0
ThunderWeasel,360a47d7aaa6b5411c9a1b37747187481c4419fa,1537283653,360a47d7aaa6b5411c9a1b37747187481c4419fa,a45293ae23c220e98490e5eabfe0c883e3eabf50,72311.0
ThunderWeasel,6e05fc8c7435c9d77c10a0c2d5b7cd7792db3901,1537282711,6e05fc8c7435c9d77c10a0c2d5b7cd7792db3901,76d699e57a3f952be5ad86e0a3482e63409d6b64,63337.0
ThunderWeasel,81d89f8836b8ba4e25213a99985663065aefa6d0,1537215207,81d89f8836b8ba4e25213a99985663065aefa6d0,091fb872a03fdc5253d5892b5b1ea80a017dc0d1,847.0
ThunderWeasel,e41a222bb5fbf36ef18b10aa2f95810bcbf6aafd,1537208893,e41a222bb5fbf36ef18b10aa2f95810bcbf6aafd,8ac8eb4bd18b3c84a2771e06774dc215b0a1531f,242679.0
ThunderWeasel,172a1dcb9497c0c4cb839df55e844fd2497f8275,1537195042,172a1dcb9497c0c4cb839df55e844fd2497f8275,ff782fdfece71400fae49d422ba675e36160639c,425816.0
ThunderWeasel,8927b3efa61d3a8c8f245d55b661d892a1f948ee,1536961855,8927b3efa61d3a8c8f245d55b661d892a1f948ee,c1dafc47e1125bd88bb7743964b543a05fa86de3,609446.0
ThunderWeasel,dc2fba59f828006807eb4feb55b5bf0374db745f,1536947926,dc2fba59f828006807eb4feb55b5bf0374db745f,d44b1115a4c0aebe986b04778b75026f2589bd75,80614.0
ThunderWeasel,b75c5de0eac20cb411b24db61e3a65541b18918b,1536942351,b75c5de0eac20cb411b24db61e3a65541b18918b,e71ad1528a790f97bf38a3d7123e177785ca0fb3,585.0
ThunderWeasel,3e3c970d7f2f12a65da55d3fecf150c8c336ef32,1536936845,3e3c970d7f2f12a65da55d3fecf150c8c336ef32,ac8513662f160f4fad1340417c320dee2677e8a0,46752.0
